		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	645	0.71200	-0.03452	0.00000
1	646	0.71000	-0.03472	0.00000
1	647	0.70800	-0.03492	0.00000
1	648	0.70600	-0.03512	0.00000
1	649	0.70400	-0.03532	0.00000
1	650	0.70200	-0.03551	0.00000
1	651	0.70000	-0.03571	0.00000
1	652	0.69800	-0.03591	0.00000
1	653	0.69600	-0.03610	0.00000
1	654	0.69400	-0.03630	0.00000
1	655	0.69200	-0.03649	0.00000
1	656	0.69000	-0.03668	0.00000
1	657	0.68800	-0.03688	0.00000
1	658	0.68600	-0.03707	0.00000
1	659	0.68400	-0.03726	0.00000
1	660	0.68200	-0.03745	0.00000
1	661	0.68000	-0.03764	0.00000
1	662	0.67800	-0.03783	0.00000
1	663	0.67600	-0.03802	0.00000
1	664	0.67400	-0.03821	0.00000
1	665	0.67200	-0.03840	0.00000
1	666	0.67000	-0.03859	0.00000
1	667	0.66800	-0.03878	0.00000
1	668	0.66600	-0.03896	0.00000
1	669	0.66400	-0.03915	0.00000
1	670	0.66200	-0.03934	0.00000
1	671	0.66000	-0.03952	0.00000
1	672	0.65800	-0.03971	0.00000
1	673	0.65600	-0.03989	0.00000
1	674	0.65400	-0.04007	0.00000
1	675	0.65200	-0.04026	0.00000
1	676	0.65000	-0.04044	0.00000
1	677	0.64800	-0.04062	0.00000
1	678	0.64600	-0.04080	0.00000
1	679	0.64400	-0.04098	0.00000
1	680	0.64200	-0.04116	0.00000
1	681	0.64000	-0.04134	0.00000
1	682	0.63800	-0.04152	0.00000
1	683	0.63600	-0.04170	0.00000
1	684	0.63400	-0.04187	0.00000
1	685	0.63200	-0.04205	0.00000
1	686	0.63000	-0.04223	0.00000
1	687	0.62800	-0.04240	0.00000
1	688	0.62600	-0.04258	0.00000
1	689	0.62400	-0.04275	0.00000
1	690	0.62200	-0.04292	0.00000
1	691	0.62000	-0.04310	0.00000
1	692	0.61800	-0.04327	0.00000
1	693	0.61600	-0.04344	0.00000
1	694	0.61400	-0.04361	0.00000
1	695	0.61200	-0.04378	0.00000
1	696	0.61000	-0.04395	0.00000
1	697	0.60800	-0.04412	0.00000
1	698	0.60600	-0.04429	0.00000
1	699	0.60400	-0.04446	0.00000
1	700	0.60200	-0.04462	0.00000
1	701	0.60000	-0.04479	0.00000
1	702	0.59800	-0.04496	0.00000
1	703	0.59600	-0.04512	0.00000
1	704	0.59400	-0.04529	0.00000
1	705	0.59200	-0.04545	0.00000
1	706	0.59000	-0.04561	0.00000
1	707	0.58800	-0.04578	0.00000
1	708	0.58600	-0.04594	0.00000
1	709	0.58400	-0.04610	0.00000
1	710	0.58200	-0.04626	0.00000
1	711	0.58000	-0.04642	0.00000
1	712	0.57800	-0.04658	0.00000
